Processes: 333 total, 2 running, 331 sleeping, 1136 threads 
2019/10/10 14:05:50
Load Avg: 1.88, 1.65, 1.74 
CPU usage: 7.14% user, 19.64% sys, 73.21% idle 
SharedLibs: 209M resident, 64M data, 28M linkedit.
MemRegions: 49309 total, 2486M resident, 68M private, 859M shared.
PhysMem: 8049M used (1596M wired), 142M unused.
VM: 2798G vsize, 1371M framework vsize, 27215(0) swapins, 59328(0) swapouts.
Networks: packets: 361530/404M in, 153922/20M out.
Disks: 217598/3575M read, 83267/1978M written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW  POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
167   bosUpdateProxy   0.0  00:00.04 2     2   39     984K   0B     872K   167  1    sleeping  0[1]         0.00000 0.00000    200 2147     144    144      70       1110     326      569       154     91      0.0   0         0         _softwareupdate    N/A    N/A   N/A   N/A   N/A   N/A  
166   VDCAssistant     0.0  00:00.15 3     2   90     3428K  0B     2524K  166  1    sleeping *0[1]         0.00000 0.00000    262 3688     195    2527     1190     1685     4060     1586      106     79      0.0   0         0         _cmiodalassistants N/A    N/A   N/A   N/A   N/A   N/A  
164   usbd             0.0  00:00.06 2     1   58     2276K  0B     1984K  164  1    sleeping  0[0]         0.00000 0.00000    0   3401     145    1758     1063     799      2924     553       16      6       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
163   airportd         0.0  00:01.09 6     4   133    5076K  0B     3748K  163  1    sleeping  0[220]       0.00000 0.00000    0   7201     201    18481    8025     17322    16074    9023      441     200     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
162   apfsd            0.0  00:00.03 2     1   39     884K   0B     848K   162  1    sleeping *0[1]         0.00000 0.00000    0   1888     130    876      330      429      1052     415       9       7       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
161   com.apple.ifdrea 0.0  00:00.02 2     1   30     1056K  0B     1036K  161  1    sleeping  0[4]         0.00000 0.00000    0   2826     140    279      123      482      395      107       11      1       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
160   multiversed      0.0  00:00.01 2     1   33     780K   0B     772K   160  1    sleeping *0[1]         0.00000 0.00000    0   1506     126    73       34       430      201      52        7       1       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
159   WindowServer     0.4  05:16.52 9     4   1726   371M   11M    42M    159  1    sleeping *0[1]         0.00000 0.01000    88  561300   37823  5057256+ 1849439+ 5938219+ 6128855+ 2939317+  5514    100460+ 0.8   3944152   12410214  _windowserver      N/A    N/A   N/A   N/A   N/A   N/A  
158   symptomsd        0.0  00:02.11 3     2   101    5368K  0B     2164K  158  1    sleeping  0[107]       0.00671 0.00000    24  10850    195    4316+    2711+    47307+   11815+   19942+    562     247     0.0   285098    983837    _networkd          N/A    N/A   N/A   N/A   N/A   N/A  
156   mDNSResponderHel 0.0  00:00.21 3     2   41     1320K  0B     1212K  156  1    sleeping *0[1]         0.00000 0.00000    0   1986     133    8075+    4036+    4660+    4240+    5358+     0       1577    0.0   14425     95529     root               N/A    N/A   N/A   N/A   N/A   N/A  
155   mDNSResponder    0.0  00:01.70 3     1   73     3260K  0B     2124K  155  1    sleeping *0[1]         0.00000 0.00000    65  3215     158    6960     3599     127291   7844     21957     167     1387    0.0   0         0         _mdnsresponder     N/A    N/A   N/A   N/A   N/A   N/A  
153   nsurlsessiond    0.0  00:00.68 2     1   82     4096K  0B     3484K  153  1    sleeping  0[924]       0.00000 0.00000    242 7454     240    949      1305     10865    3109     7283      526     299     0.0   0         0         _nsurlsessiond     N/A    N/A   N/A   N/A   N/A   N/A  
150   mobileassetd     0.0  00:02.33 2     1   57     9540K  0B     2124K  150  1    sleeping  0[354]       0.00000 0.00000    0   10144    182    1737     771      6652     2426     6827      209     21      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
148   com.apple.audio. 0.0  00:00.09 2     2   40     1932K  0B     1436K  148  1    sleeping  0[4]         0.00000 0.00000    202 2551     138    193      914      3170     1251     1627      2       7       0.0   0         0         _coreaudiod        N/A    N/A   N/A   N/A   N/A   N/A  
134   nehelper         0.0  00:00.24 2     1   64     3100K  0B     2664K  134  1    sleeping  0[52]        0.00000 0.00000    0   6900     171    1193     398      6602     2002     2041      162     15      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
132   coreaudiod       4.1  01:28.33 9     2   440    14M    0B     8140K  132  1    sleeping *0[1]         0.00000 0.01524    202 30389    304    914666+  57383+   1675984+ 1030483+ 1602931+  1569    519471+ 18.9  25940073  123042356 _coreaudiod        N/A    N/A   N/A   N/A   N/A   N/A  
126   ctkd             0.0  00:00.02 2     2   21     2132K  0B     2108K  126  1    sleeping  0[2]         0.00000 0.00000    259 2916     148    92       38       514      186      235       17      0       0.0   0         0         _ctkd              N/A    N/A   N/A   N/A   N/A   N/A  
120   com.apple.ctkpcs 0.0  00:00.02 2     2   23     888K   0B     860K   120  1    sleeping  0[1]         0.00000 0.00000    0   2563     143    95       37       413      183      199       71      0       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
115   trustd           0.0  00:05.46 2     2   85     8876K  0B     5864K  115  1    sleeping  0[1378]      0.00000 0.00000    0   10332    191    12694    3408     100497   35049    28094     880     127     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
113   lsd              0.0  00:00.72 2     1   107    3672K  0B     2220K  113  1    sleeping  0[160]       0.00000 0.00000    0   13200    796    3468     1994     15512    4880     6471      825     29      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
111   contextstored    0.0  00:02.80 2     1   110    4484K  448K   1788K  111  1    sleeping  0[964]       0.00000 0.00000    0   8648     195    16986    5162     53679    25292    34245     959     910     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
110   aslmanager       0.0  00:00.05 2     2   22     956K   0B     896K   110  1    sleeping *0[1]         0.00000 0.00000    0   1788     130    106      49       1442     198      268       2       2       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
109   coreservicesd    0.0  00:01.76 4     1   254    5736K  0B     3156K  109  1    sleeping *0[1]         0.00000 0.00000    0   4166     159    33580    6856     37395+   49370    21714+    107     1097+   0.0   323647    571869    root               N/A    N/A   N/A   N/A   N/A   N/A  
108   authd            0.0  00:00.42 3     3   73     4876K  0B     2752K  108  1    sleeping  0[77]        0.00000 0.00000    0   4971     177    1190     1194     9766     3353     4058      162     15      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
106   cfprefsd         0.0  00:01.66 2     2   578    1652K  0B     292K   106  1    sleeping  0[2207]      0.00000 0.00000    0   4379     91     18014    5943     56413    19878    16722     26      171     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
105   syspolicyd       0.0  00:02.88 3     1   96     24M    64K    16M    105  1    sleeping  0[260]       0.00000 0.00000    0   19133    274    3508     2011     87120    11729    12479     201     212     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
104   distnoted        0.0  00:00.21 2     1   135    2276K  0B     1840K  104  1    sleeping *0[1]         0.00000 0.00000    241 1255     92     3940     1508     3980     3720     1914      10      0       0.0   0         0         _distnote          N/A    N/A   N/A   N/A   N/A   N/A  
102   amfid            0.0  00:00.90 2     2   42     8552K  0B     6044K  102  1    sleeping *0[1]         0.00000 0.00000    0   5116     173    492      1178     10675    1978     5530      175     8       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
101   notifyd          0.0  00:02.84 3     3   342    1604K  0B     200K   101  1    sleeping *0[1]         0.00000 0.00000    0   1257     74     115292   42521    63764    121978   77334     3       46      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
100   AirPlayXPCHelper 0.0  00:00.24 2     2   133    3012K  0B     2584K  100  1    sleeping *0[1]         0.00000 0.00000    0   5266     180    2397     1101     5167     4837     5081      1426    36      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
99    corebrightnessd  0.0  00:00.21 2     1   93     4264K  0B     3440K  99   1    sleeping *0[1]         0.00000 0.00000    0   5206     159    1816     945      3482     4575     3340      357     130     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
98    sandboxd         0.0  00:02.82 6     5   77     9652K  0B     6744K  98   1    sleeping *0[1]         0.00000 0.00000    0   120882   176    5234     2419     25784+   6712     14641+    21610   696     0.0   30445     118217    root               N/A    N/A   N/A   N/A   N/A   N/A  
97    hidd             0.0  01:36.86 5     1   256-   3484K- 0B     1268K  97   1    sleeping *0[1]         0.00000 0.00000    261 47480    178    1178225  732876   1986006+ 1567851+ 1262659+  358     1711+   0.0   29346     137463    _hidd              N/A    N/A   N/A   N/A   N/A   N/A  
96    bluetoothd       0.0  00:00.34 3     1   123    3484K  0B     3440K  96   1    sleeping *0[1]         0.00000 0.00000    0   4757     227    8843     4688     4057     10932    3897      1251    13      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
94    KernelEventAgent 0.0  00:00.01 3     1   26     720K   0B     504K   94   1    sleeping *0[1]         0.00000 0.00000    0   1531     123    71       22       538      231      153       8       0       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
93    revisiond        0.0  00:00.09 3     1   59     2900K  0B     2304K  93   1    sleeping  0[2]         0.00000 0.00000    0   3361     168    293      118      2482     746      810       216     6       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
92    logind           0.0  00:00.05 2     1   66     1104K  0B     1024K  92   1    sleeping *0[1]         0.00000 0.00000    0   2583     199    386      127      680      504      619       274     1       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
91    loginwindow      0.0  00:04.73 3     2   526    23M    0B     13M    91   1    sleeping *0[494]       0.00000 0.00000    501 34230    474    24924    8307     43115    46814    31934     2166    585     0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
89    PerfPowerService 0.0  00:01.70 2     1   111    5572K  0B     2440K  89   1    sleeping  0[24]        0.00000 0.00000    0   8667     191    16805    8301     21934    11477    12895     1488    176     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
87    dasd             0.0  00:02.15 2     1   56     2908K  0B     1192K  87   1    sleeping  0[562]       0.00000 0.00000    0   6168     217    6984     1112     20475    9495     13703     403     420     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
85    autofsd          0.0  00:00.01 2     2   25     756K   0B     600K   85   1    sleeping *0[1]         0.00000 0.00000    0   1728     131    72       30       400      170      180       17      3       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
83    locationd        0.0  00:00.78 2     1   144    4212K  0B     1696K  83   1    sleeping  0[467]       0.00000 0.00000    205 5973     270    4820     2465     16134    8068     8081      761     235     0.0   0         0         _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
81    usbmuxd          0.0  00:00.05 3     1   40     1180K  0B     932K   81   1    sleeping *0[1]         0.00000 0.00000    213 2130     146    282      80       1847     1412     850       200     1       0.0   0         0         _usbmuxd           N/A    N/A   N/A   N/A   N/A   N/A  
80    securityd        0.0  00:02.24 4     1   151    4456K  0B     2848K  80   1    sleeping *0[1]         0.00000 0.00000    0   8513     213    15227    1875     73153    206452   32327     323     41      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
79    timed            0.0  00:00.24 2     1   46     1532K  0B     604K   79   1    sleeping *0[1]         0.00000 0.00000    266 2796     157    893      214      3895     1593     2265      115     66      0.0   0         0         _timed             N/A    N/A   N/A   N/A   N/A   N/A  
78    launchservicesd  0.0  00:05.53 5     5   434    5036K  0B     1816K  78   1    sleeping  0[8665]      0.00000 0.00000    0   19538    180    85947    23038    172960   75185    66957     80      207     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
77    nbstated         0.0  00:00.02 2     1   21     2104K  0B     2096K  77   1    sleeping  0[0]         0.00000 0.00000    0   1812     124    47       21       354      135      182       2       0       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
76    com.docker.vmnet 0.0  00:00.03 7     0   19     1340K  0B     1260K  76   1    sleeping *0[1]         0.00000 0.00000    0   2022     126    38       17       704      111      475       398     36      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
75    apsd             0.0  00:00.89 4     1   177    6832K  12K    4312K  75   1    sleeping *0[1]         0.00000 0.00000    0   9481     347    4858     2612     21628    12497    11304     1246    185     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
74    opendirectoryd   0.0  00:05.34 9     9   860    8076K  0B     4852K  74   1    sleeping *0[1]         0.00000 0.00000    0   21895    184    25571    10304    258664   31761    82599     1310    212     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
71    coreduetd        0.0  00:01.84 3     2   62     6576K  0B     3816K  71   1    sleeping  0[126]       0.00000 0.00000    0   12290    201    1814     511      25457    8513     11174     622     39      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
70    backupd-helper   0.0  00:00.12 2     1   50     1840K  0B     1440K  70   1    sleeping  0[0]         0.00000 0.00000    0   9012     188    372      135      1257     897      2424      789     11      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
67    diskarbitrationd 0.0  00:00.82 2     1   221    1600K  0B     624K   67   1    sleeping *0[1]         0.00000 0.00000    0   8298     1153   22990    3952     9664     40104    6564      286     4       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
66    iconservicesd    0.0  00:00.05 2     2   47     2252K  0B     1580K  66   1    sleeping  0[20]        0.00000 0.00000    240 3923     139    239      77       833      431      328       8       6       0.0   0         0         _iconservices      N/A    N/A   N/A   N/A   N/A   N/A  
65    mds              0.0  00:10.03 7     4   278    36M    0B     22M    65   1    sleeping *0[1]         0.08142 0.00000    0   78951    350    27888+   9037     265895+  34378+   111652+   1029    3010    0.0   330643    1089214   root               N/A    N/A   N/A   N/A   N/A   N/A  
59    keybagd          0.0  00:00.01 2     1   27     772K   0B     752K   59   1    sleeping *0[1]         0.00000 0.00000    0   1546     132    60       23       342      149      319       87      0       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
58    logd             0.0  00:07.20 3     3   1027   18M    0B     13M    58   1    sleeping *0[1]         0.00000 0.00000    0   66907    146    30004    30299    102758   34480    118221    46711   230     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
55    powerd           0.0  00:04.37 2     1   110    2728K  0B     1008K  55   1    sleeping *0[1]         0.00000 0.00000    0   19764    162    70650    9255     77850    157666   76640     1878    191     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
54    configd          0.0  00:01.54 8     1   436    4196K  0B     2784K  54   1    sleeping *0[1]         0.00000 0.00000    0   15051    330    36566    9360     30720    57928    13416     1125    229     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
52    systemstats      0.0  00:01.94 3     2   97     6164K  0B     2860K  52   1    sleeping  0[206]       0.00000 0.00000    0   8682     242    13738    6368     97162    9949     10816     656     209     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
51    appleeventsd     0.0  00:00.33 2     2   135    4384K  0B     2960K  51   1    sleeping  0[94]        0.00000 0.00000    55  3931     170    2262     1680     6889     5082     4930      44      33      0.0   0         0         _appleevents       N/A    N/A   N/A   N/A   N/A   N/A  
48    mediaremoted     0.0  00:01.05 2     1   167    2900K  0B     760K   48   1    sleeping  0[637]       0.00000 0.00000    0   10081    258    11825    4011     20762    19076    15585     845     89      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
46    fseventsd        0.0  00:03.68 11    1   262    8688K  0B     5064K  46   1    sleeping *0[1]         0.00000 0.00000    0   12672    126    5201     498      159073+  20605    42847+    19      3086    0.0   458985    864454    root               N/A    N/A   N/A   N/A   N/A   N/A  
45    kextd            0.0  00:06.85 2     1   69     14M    0B     13M    45   1    sleeping *0[1]         0.00000 0.00000    0   54967    2302   4176     2325     142748   12498    25422     6339    337     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
44    uninstalld       0.0  00:00.15 2     1   21     728K   0B     452K   44   1    sleeping *0[1]         0.00000 0.00000    0   2369     124    453      21       4600     1760     3133      16      421     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
41    UserEventAgent   0.0  00:01.00 5     2   562    3840K  0B     1940K  41   1    sleeping *0[1]         0.00000 0.00000    0   8603     247    8356     4712     24795    13563    13796     769     180     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
40    syslogd          0.0  00:00.82 3     3   71-    712K-  0B     240K   40   1    sleeping  0[841]       0.00000 0.00000    0   2716     80     3959     361      49063+   8580     13394+    25      166+    0.0   47099     127622    root               N/A    N/A   N/A   N/A   N/A   N/A  
1     launchd          0.0  00:12.26 2     2   2775   19M    0B     6980K  1    0    sleeping  0[0]         0.00000 0.00671    0   15945    745    213115+  58847+   605094+  286702+  141758+   1089    268     0.0   90991     272850    root               N/A    N/A   N/A   N/A   N/A   N/A  
0     kernel_task      1.0  02:34.86 164/4 0   0      283M   0B     0B     0    0    running   0[0]         0.00000 0.00000    0   62196    0      9553264+ 8851464+ 0        0        15870899+ 0       678836+ 0.0   14203205  106287941 root               N/A    N/A   N/A   N/A   N/A   N/A  
Processes: 333 total, 2 running, 331 sleeping, 1140 threads 
2019/10/10 14:05:56
Load Avg: 1.81, 1.64, 1.73 
CPU usage: 3.25% user, 5.85% sys, 90.88% idle 
SharedLibs: 209M resident, 64M data, 28M linkedit.
MemRegions: 49309 total, 2486M resident, 68M private, 859M shared.
PhysMem: 8051M used (1615M wired), 140M unused.
VM: 2798G vsize, 1371M framework vsize, 27215(0) swapins, 59328(0) swapouts.
Networks: packets: 361588/404M in, 153948/20M out.
Disks: 217818/3577M read, 83413/1980M written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW   POWER INSTRS    CYCLES    USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
1046  top              13.0 00:00.95 1/1   0   25     2628K+ 0B     0B     1045 1045 running  *0[1]         0.00000 0.00000    0   3038+    100    171068+  85522+   8474+    98485+   648+      15      0       13.0  319992836 451549665 root               N/A    N/A   N/A   N/A   N/A   N/A  
1045  sh               0.0  00:00.01 1     0   10     352K   0B     0B     1045 399  sleeping *0[1]         0.00000 0.00000    501 427      121    25       12       154      52       35        107     0       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1037  mdworker_shared  0.0  00:00.08 3     1   63     3156K  0B     0B     1037 1    sleeping *0[1]         0.00000 0.00000    501 3840     198    609      252      1026     682      384       0       2       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1036  mdworker_shared  0.0  00:00.08 3     1   63     3128K  0B     0B     1036 1    sleeping *0[1]         0.00000 0.00000    501 3837     198    609      253      963      683      416       13      2       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1035  XprotectService  0.0  00:00.04 2     2   49     3076K  0B     0B     1035 1    sleeping  0[1]         0.00000 0.00000    501 4056     173    162      48       712      359      323       8       0       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1032  AdBlock-Safari-M 0.0  00:00.16 3     1   141    3736K  0B     1824K  1032 1    sleeping  0[60]        0.00000 0.00000    501 6567     315    1349     362      2978     3159     1861      60      53      0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1031  mdworker_shared  0.0  00:00.08 4     1   58     3352K  0B     1904K  1031 1    sleeping *0[1]         0.00000 0.00000    501 6437     188    671      276      1095     899      405       18      1       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1029  com.apple.WebKit 0.0  00:00.23 3     1   87     10M    0B     9492K  1029 1    sleeping *12[38]       0.00000 0.00100    501 11865    1813   1078+    313+     2913+    2959+    1784+     0       71+     0.0   85335     199689    levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1026  com.apple.WebKit 0.0  00:12.68 4     1   111    220M   0B     28M    1026 1    sleeping *1670[38]     0.00000 0.00113    501 172701   2614   16355+   7450+    64407+   54491+   48189+    2124    253+    0.0   86781     196939    levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1016  com.apple.WebKit 0.0  00:01.54 5     2   168    55M    0B     6680K  1016 1    sleeping *80[38]       0.00000 0.00226    501 52717    1865   3087+    1087+    9979+    7261+    7408+     800     131+    0.0   98254     375107    levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1010  com.apple.audio. 0.0  00:00.01 2     2   15     848K   0B     692K   1010 1    sleeping  0[1]         0.00000 0.00000    501 2603     138    95       34       451      210      92        0       0       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
1006  QuickLookUIServi 0.0  00:00.48 3     1   184    12M    0B     2024K  1006 1    sleeping *0[226]       0.00000 0.00000    501 10800    845    5248     1938     8763     11364    5816      124     120     0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
994   mdworker_shared  0.0  00:00.06 3     1   53     2884K  0B     2188K  994  1    sleeping *0[1]         0.00000 0.00000    501 4647     187    600      250      792      656      261       0       0       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
992   mdworker_shared  0.0  00:00.05 3     1   53     2904K  0B     2848K  992  1    sleeping *0[1]         0.00000 0.00000    501 4584     187    578      243      745      627      282       13      1       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
989   AssetCacheManage 0.0  00:00.02 2     2   26     2196K  0B     2060K  989  1    sleeping  0[1]         0.00000 0.00000    0   1964     132    76       30       456      174      128       3       0       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
988   Activity Monitor 0.0  00:04.66 3     1   308    45M    0B     20M    988  1    sleeping  0[118]       0.00000 0.00000    501 60009    346    39811    9720     105213   80235    39135     476     303     0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
986   com.apple.WebKit 0.0  00:07.60 4     1   112    112M   0B     11M    986  1    sleeping *4866[40]     0.00000 0.00000    501 86484    1880   35549    14939    57402    89412    52187     185     550     0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
981   com.apple.WebKit 0.0  00:01.51 4     1   174    69M    0B     20M    981  1    sleeping *169[56]      0.00000 0.00170    501 82769    1883   4280+    1602+    10397+   9859+    7076+     78      193     0.0   93242     231734    levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
969   com.apple.WebKit 0.0  01:27.56 6     1   207    326M   0B     18M    969  1    sleeping *34513[32]    0.00000 0.00000    501 654600   53354  384442   191849   512718   869090   567793    2233    6313    0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
967   mdworker_shared  0.0  00:00.51 4     1   59     8752K  0B     3504K  967  1    sleeping *0[1]         0.00000 0.00000    501 23367    189    2487     995      7937     4613     2596      14      2       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
959   CoreServicesUIAg 0.1  00:00.45 4     2   182+   4752K+ 0B     1548K  959  1    sleeping *0[1]         0.00000 0.07555    501 7209+    267    3281+    869+     10756+   9380+    5710+     17      273+    0.1   984762    1586532   levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
954   warmd            0.0  00:00.10 2     1   36     1144K  0B     468K   954  1    sleeping *0[1]         0.00000 0.00000    0   2940     147    970      473      2442     3549     1916      22      119     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
953   warmd_agent      0.0  00:00.02 3     3   46     964K   0B     452K   953  1    sleeping *0[1]         0.00000 0.00000    501 1801     134    233      54       999      454      333       48      3       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
877   com.apple.speech 0.0  00:00.25 2     1   44     12M    0B     9080K  877  1    sleeping *0[1]         0.00000 0.00000    501 5838     149    187      54       5551     404      1243      79      1       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
866   fontworker       0.0  00:00.03 2     2   39     2296K  0B     2264K  866  1    sleeping *0[1]         0.00000 0.00000    501 2118     138    131      38       562      301      107       5       1       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
865   DiskUnmountWatch 0.0  00:00.02 3     3   36     784K   0B     756K   865  1    sleeping  0[0]         0.00000 0.00000    501 1690     134    145      38       590      309      195       8       0       0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
863   ReportCrash      0.0  00:00.04 3     1   31     908K   0B     896K   863  1    sleeping  0[0]         0.00000 0.00000    0   2531     144    71       31       395      196      150       19      0       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
862   com.apple.dock.e 0.0  00:00.27 3     1   167    6044K  0B     3348K  862  1    sleeping *0[38]        0.00000 0.00000    501 9573     444    2102     686      5821     6103     3138      30      111     0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
842   Dock             0.0  00:10.63 3     1   463    47M    0B     27M    842  1    sleeping *1[94]        0.00000 0.00000    501 92595    480    85389    8848     95100    184818   124989    9436    2755    0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
826   mdworker_shared  0.0  00:01.03 4     1   59     7056K  0B     528K   826  1    sleeping *0[1]         0.00000 0.00000    501 60040    189    3928     1546     14602    9824     4821      543     10      0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
825   mdworker_shared  0.0  00:02.18 4     1   59     7188K  0B     1220K  825  1    sleeping *0[1]         0.00000 0.00000    501 121189   189    5649     2182     24413    18553    8826      553     18      0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
824   mdworker_shared  0.9  00:02.59 4     1   59     7668K  0B     976K   824  1    sleeping *0[1]         0.25216 0.00000    501 154360+  189    6960+    2677+    30391+   23347+   9700+     16      21+     1.0   38036099  26137209  levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
818   com.apple.Safari 0.0  00:00.37 3     1   147    11M    0B     8172K  818  1    sleeping  0[265]       0.00000 0.00000    501 11298    1829   2817     892      8327     8521     4672      32      123     0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
794   netbiosd         0.0  00:00.55 3     3   29     2408K  0B     1144K  794  1    sleeping *0[1]         0.00000 0.00000    222 3604     162    122      31       29977    381      10089     32      369     0.0   0         0         _netbios           N/A    N/A   N/A   N/A   N/A   N/A  
788   com.apple.MediaL 0.0  00:00.78 2     1   96     10M    0B     6848K  788  1    sleeping  0[24]        0.00000 0.00000    501 13352    1036   982      365      5778     2055     3101      795     16      0.0   0         0         levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
785   installd         0.0  00:00.04 2     1   34     1336K  0B     1164K  785  1    sleeping  0[0]         0.00000 0.00000    0   2954     162    118      44       664      283      221       9       1       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
784   system_installd  0.0  00:01.53 2     1   34     1696K  0B     1600K  784  1    sleeping  0[0]         0.00000 0.00000    0   3107     164    138      48       21476    322      3302      15      1       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
