Processes: 333 total, 2 running, 331 sleeping, 1136 threads 
2019/10/10 14:05:50
Load Avg: 1.88, 1.65, 1.74 
CPU usage: 7.14% user, 19.64% sys, 73.21% idle 
SharedLibs: 209M resident, 64M data, 28M linkedit.
MemRegions: 49309 total, 2486M resident, 68M private, 859M shared.
PhysMem: 8049M used (1596M wired), 142M unused.
VM: 2798G vsize, 1371M framework vsize, 27215(0) swapins, 59328(0) swapouts.
Networks: packets: 361530/404M in, 153922/20M out.
Disks: 217598/3575M read, 83267/1978M written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW  POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
959   CoreServicesUIAg 0.0  00:00.45 4     2   182+   4752K+ 0B     1548K+ 959  1    sleeping *0[1+]        0.00000 0.00000    501 7203+    267+   3270+    866+     10718+   9337+    5693+     17+     272    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
954   warmd            0.0  00:00.10 2     1   36+    1144K+ 0B     468K+  954  1    sleeping *0[1+]        0.00000 0.00000    0   2940+    147+   968+     472+     2439+    3540+    1910+     22+     119    0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
953   warmd_agent      0.0  00:00.02 3     3   46+    964K+  0B     452K+  953  1    sleeping *0[1+]        0.00000 0.00000    501 1801+    134+   233+     54+      999+     454+     333+      48+     3      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
877   com.apple.speech 0.0  00:00.25 2     1   44+    12M+   0B     9080K+ 877  1    sleeping *0[1+]        0.00000 0.00000    501 5838+    149+   187+     54+      5551+    404+     1243+     79+     1      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
866   fontworker       0.0  00:00.03 2     2   39+    2296K+ 0B     2264K+ 866  1    sleeping *0[1+]        0.00000 0.00000    501 2118+    138+   131+     38+      562+     301+     107+      5+      1      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
865   DiskUnmountWatch 0.0  00:00.02 3     3   36+    784K+  0B     756K+  865  1    sleeping  0[0]         0.00000 0.00000    501 1690+    134+   145+     38+      590+     309+     195+      8+      0      0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
863   ReportCrash      0.0  00:00.04 3     1   31+    908K+  0B     896K+  863  1    sleeping  0[0]         0.00000 0.00000    0   2531+    144+   71+      31+      395+     196+     150+      19+     0      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
862   com.apple.dock.e 0.0  00:00.27 3     1   167+   6044K+ 0B     3348K+ 862  1    sleeping *0[38+]       0.00000 0.00000    501 9573+    444+   2100+    685+     5818+    6094+    3134+     30+     111    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
842   Dock             0.0  00:10.63 3     1   463+   47M+   0B     27M+   842  1    sleeping *1+[94+]      0.00000 0.00000    501 92595+   480+   85387+   8847+    95095+   184809+  124987+   9436+   2754   0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
826   mdworker_shared  0.0  00:01.03 4     1   59+    7056K+ 0B     528K+  826  1    sleeping *0[1+]        0.00000 0.00000    501 60040+   189+   3928+    1546+    14602+   9824+    4821+     543+    10     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
825   mdworker_shared  0.0  00:02.18 4     1   59+    7188K+ 0B     1220K+ 825  1    sleeping *0[1+]        0.00000 0.00000    501 121189+  189+   5649+    2182+    24413+   18553+   8826+     553+    18     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
824   mdworker_shared  0.0  00:02.57 4     1   59+    7668K+ 0B     976K+  824  1    sleeping *0[1+]        0.00000 0.00000    501 153141+  189+   6939+    2671+    30217+   23187+   9662+     16+     20     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
818   com.apple.Safari 0.0  00:00.37 3     1   147+   11M+   0B     8172K+ 818  1    sleeping  0[265+]      0.00000 0.00000    501 11298+   1829+  2815+    891+     8324+    8512+    4667+     32+     123    0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
794   netbiosd         0.0  00:00.55 5     5   31+    2424K+ 0B     1144K+ 794  1    sleeping *0[1+]        0.00000 0.00000    222 3604+    162+   122+     31+      29973+   381+     10086+    32+     368    0.0   0      0      _netbios           N/A    N/A   N/A   N/A   N/A   N/A  
788   com.apple.MediaL 0.0  00:00.78 2     1   96+    10M+   0B     6848K+ 788  1    sleeping *0[24+]       0.00000 0.00000    501 13352+   1036+  982+     365+     5778+    2055+    3101+     795+    16     0.0   0      0      levsvalov          N/A    N/A   N/A   N/A   N/A   N/A  
785   installd         0.0  00:00.04 2     1   34+    1336K+ 0B     1164K+ 785  1    sleeping  0[0]         0.00000 0.00000    0   2954+    162+   118+     44+      664+     283+     221+      9+      1      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
